# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   59       2.214968686466e-10       2.135631049910e-14      -2.820929436578e-13       0.000000000000e+00       3.037094787546e-11       3.755777323343e-12      -8.631772910023e-15 
   60       2.249157757642e-10       2.248901776043e-14      -3.204713112075e-13       0.000000000000e+00       2.920289223066e-11       3.636553931225e-12      -8.820952731302e-15 
   61       2.283565834310e-10       2.365498771568e-14      -3.605125587072e-13       0.000000000000e+00       2.809310617589e-11       3.522811210102e-12      -8.933012222603e-15 
   62       2.318213339941e-10       2.485370100439e-14      -4.021814824000e-13       0.000000000000e+00       2.703963034243e-11       3.414400182626e-12      -8.980176482812e-15 
   63       2.353115859643e-10       2.608454241313e-14      -4.454362153363e-13       0.000000000000e+00       2.603893151442e-11       3.311016377788e-12      -8.976984800501e-15 
   64       2.388283734869e-10       2.734679783405e-14      -4.902280155351e-13       0.000000000000e+00       2.508581655192e-11       3.212191168206e-12      -8.940391942941e-15 
   65       2.423723594099e-10       2.863973896469e-14      -5.365119482212e-13       0.000000000000e+00       2.417484900123e-11       3.117425393376e-12      -8.886451174702e-15 
   66       2.459444231952e-10       2.996290508823e-14      -5.842820378333e-13       0.000000000000e+00       2.330514097192e-11       3.026642579120e-12      -8.819319314989e-15 
   67       2.495451254366e-10       3.131587570892e-14      -6.335432039187e-13       0.000000000000e+00       2.247642522455e-11       2.939816500375e-12      -8.740097325033e-15 
   68       2.531744907956e-10       3.269818750043e-14      -6.843011151175e-13       0.000000000000e+00       2.168759881105e-11       2.856832769589e-12      -8.650048677265e-15 
   69       2.568319728878e-10       3.410933371870e-14      -7.365622820532e-13       0.000000000000e+00       2.093667903100e-11       2.777484154027e-12      -8.550605028382e-15 
   70       2.605164191709e-10       3.554876361482e-14      -7.903341502242e-13       0.000000000000e+00       2.022075938790e-11       2.701465893082e-12      -8.443371892407e-15 
   71       2.642260358315e-10       3.701588184790e-14      -8.456251928947e-13       0.000000000000e+00       1.953596554540e-11       2.628371015584e-12      -8.330134313754e-15 
   72       2.679590834033e-10       3.851004099295e-14      -9.024383633590e-13       0.000000000000e+00       1.887844274038e-11       2.557798360064e-12      -8.212727994827e-15 
   73       2.717161962303e-10       4.003051870439e-14      -9.607497902568e-13       0.000000000000e+00       1.824763532204e-11       2.489711046025e-12      -8.092611433710e-15 
   74       2.754984468432e-10       4.157653508764e-14      -1.020526141654e-12       0.000000000000e+00       1.764356005718e-11       2.424138669220e-12      -7.971221528062e-15 
   75       2.793066365615e-10       4.314725848354e-14      -1.081730845603e-12       0.000000000000e+00       1.706581030459e-11       2.361068621762e-12      -7.850103400666e-15 
   76       2.831412770639e-10       4.474180472366e-14      -1.144324031426e-12       0.000000000000e+00       1.651353552062e-11       2.300443982548e-12      -7.730913000682e-15 
   77       2.870025719589e-10       4.635923638542e-14      -1.208262470988e-12       0.000000000000e+00       1.598542076460e-11       2.242161407704e-12      -7.615419704892e-15 
   78       2.908903983559e-10       4.799856204739e-14      -1.273499519978e-12       0.000000000000e+00       1.547966620444e-11       2.186069021018e-12      -7.505508918952e-15 
   79       2.948042884353e-10       4.965873554446e-14      -1.339985059189e-12       0.000000000000e+00       1.499396662208e-11       2.131964304375e-12      -7.403184678637e-15 
   80       2.987437366399e-10       5.133867300909e-14      -1.407669783224e-12       0.000000000000e+00       1.452607898810e-11       2.079648075283e-12      -7.310135453763e-15 
   81       3.027092232300e-10       5.303730904180e-14      -1.476519053542e-12       0.000000000000e+00       1.407568378843e-11       2.029101855997e-12      -7.226338997995e-15 
   82       3.067013356743e-10       5.475354898166e-14      -1.546501355285e-12       0.000000000000e+00       1.364281104724e-11       1.980337600557e-12      -7.151218823029e-15 
   83       3.107204466092e-10       5.648625157768e-14      -1.617584184980e-12       0.000000000000e+00       1.322727151249e-11       1.933343289208e-12      -7.084054072905e-15 
   84       3.147667014400e-10       5.823422857339e-14      -1.689734072325e-12       0.000000000000e+00       1.282864705157e-11       1.888081857488e-12      -7.023974036415e-15 
   85       3.188400059413e-10       5.999624429145e-14      -1.762916601976e-12       0.000000000000e+00       1.244628104700e-11       1.844490125311e-12      -6.969952659512e-15 
   86       3.229400138573e-10       6.177101521825e-14      -1.837096435336e-12       0.000000000000e+00       1.207926879212e-11       1.802477726054e-12      -6.920803057719e-15 
   87       3.270661145032e-10       6.355720958844e-14      -1.912237332335e-12       0.000000000000e+00       1.172644788673e-11       1.761926035642e-12      -6.875172028540e-15 
   88       3.312174203652e-10       6.535344696960e-14      -1.988302173226e-12       0.000000000000e+00       1.138638863277e-11       1.722687101633e-12      -6.831534563867e-15 
   89       3.353930696244e-10       6.715832518056e-14      -2.065251813862e-12       0.000000000000e+00       1.105773183900e-11       1.684619454689e-12      -6.788462457148e-15 
   90       3.395932151421e-10       6.897050679132e-14      -2.143041398285e-12       0.000000000000e+00       1.074028389922e-11       1.647704315336e-12      -6.745490375539e-15 
   91       3.438181684912e-10       7.078864548993e-14      -2.221623505151e-12       0.000000000000e+00       1.043407660020e-11       1.611945728005e-12      -6.702376167918e-15 
   92       3.480680912696e-10       7.261135995082e-14      -2.300949266994e-12       0.000000000000e+00       1.013903066671e-11       1.577334790288e-12      -6.658837502383e-15 
   93       3.523429874189e-10       7.443723382885e-14      -2.380968374529e-12       0.000000000000e+00       9.854951361797e-12       1.543849134568e-12      -6.614550484943e-15 
   94       3.566426955431e-10       7.626481575341e-14      -2.461629080973e-12       0.000000000000e+00       9.581524087103e-12       1.511452409653e-12      -6.569148278219e-15 
   95       3.609668812268e-10       7.809261932252e-14      -2.542878206347e-12       0.000000000000e+00       9.318309983163e-12       1.480093762404e-12      -6.522219720140e-15 
   96       3.653150293544e-10       7.991912309690e-14      -2.624661141791e-12       0.000000000000e+00       9.064741529710e-12       1.449707319367e-12      -6.473307942642e-15 
   97       3.696864364282e-10       8.174277059403e-14      -2.706921853873e-12       0.000000000000e+00       8.820118145982e-12       1.420211668402e-12      -6.421908990363e-15 
