# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.299189859984e-02       1.406891570721e+04 
       3.315030324139e-02       1.400680880223e+04 
       3.330905982100e-02       1.394535598251e+04 
       3.346817692075e-02       1.388312493790e+04 
       3.362766336830e-02       1.382128639248e+04 
       3.378752824539e-02       1.375950286322e+04 
       3.394778089687e-02       1.369704957224e+04 
       3.410843093993e-02       1.363578020747e+04 
       3.426948827390e-02       1.357371988593e+04 
       3.443096309044e-02       1.351234032393e+04 
       3.459286588410e-02       1.345064475057e+04 
       3.475520746348e-02       1.338912991024e+04 
       3.491799896287e-02       1.332728515516e+04 
       3.508125185437e-02       1.326652808923e+04 
       3.524497796062e-02       1.320486376175e+04 
       3.540918946815e-02       1.314378817350e+04 
       3.557389894133e-02       1.308245782921e+04 
       3.573911933700e-02       1.302165410287e+04 
       3.590486401979e-02       1.296055491898e+04 
       3.607114677823e-02       1.289971485872e+04 
       3.623798184162e-02       1.283896596820e+04 
       3.640538389777e-02       1.277834577113e+04 
       3.657336811161e-02       1.271772728448e+04 
       3.674195014474e-02       1.265725045510e+04 
       3.691114617603e-02       1.259699199127e+04 
       3.708097292326e-02       1.253675029301e+04 
       3.725144766586e-02       1.247656331056e+04 
       3.742258826894e-02       1.241666731528e+04 
       3.759441320854e-02       1.235663689205e+04 
       3.776694159828e-02       1.229706328754e+04 
       3.794019321743e-02       1.223730767622e+04 
       3.811418854060e-02       1.217804113385e+04 
       3.828894876904e-02       1.211850727015e+04 
       3.846449586371e-02       1.205902042143e+04 
       3.864085258029e-02       1.199988797825e+04 
       3.881804250616e-02       1.194078044670e+04 
       3.899609009957e-02       1.188153023069e+04 
       3.917502073115e-02       1.182276288607e+04 
       3.935486072784e-02       1.176435799207e+04 
       3.953563741959e-02       1.170521580425e+04 
       3.971737918880e-02       1.164712632656e+04 
       3.990011552294e-02       1.158852864610e+04 
       4.008387707040e-02       1.153017326712e+04 
       4.026869569995e-02       1.147227655740e+04 
       4.045460456395e-02       1.141429543618e+04 
       4.064163816580e-02       1.135641037929e+04 
       4.082983243174e-02       1.129856270350e+04 
       4.101922478748e-02       1.124089612838e+04 
       4.120985424011e-02       1.118324280732e+04 
       4.140176146550e-02       1.112623205829e+04 
       4.159498890188e-02       1.106852595571e+04 
       4.178958084998e-02       1.101148770211e+04 
       4.198558358037e-02       1.095442681679e+04 
       4.218304544858e-02       1.089718118184e+04 
       4.238201701860e-02       1.084052121662e+04 
       4.258255119575e-02       1.078364908426e+04 
       4.278470336946e-02       1.072692104161e+04 
       4.298853156711e-02       1.067029924013e+04 
       4.319409661983e-02       1.061409559429e+04 
