# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   61       2.285170398045e-10       2.375940092910e-14      -3.608755310014e-13       1.080514469974e-16       2.809310617589e-11       3.522811210102e-12      -8.933012222603e-15 
   62       2.319856703400e-10       2.496134163824e-14      -4.025498049210e-13       1.116631546429e-16       2.703963034243e-11       3.414400182626e-12      -8.980176482812e-15 
   63       2.354798083000e-10       2.619543786481e-14      -4.458087647272e-13       1.153353865975e-16       2.603893151442e-11       3.311016377788e-12      -8.976984800501e-15 
   64       2.390004852135e-10       2.746097333990e-14      -4.906035669861e-13       1.190680609764e-16       2.508581655192e-11       3.212191168206e-12      -8.940391942941e-15 
   65       2.425483610437e-10       2.875721766811e-14      -5.368891736616e-13       1.228610923480e-16       2.417484900123e-11       3.117425393376e-12      -8.886451174702e-15 
   66       2.461243117197e-10       3.008370864158e-14      -5.846595094320e-13       1.267144250652e-16       2.330514097192e-11       3.026642579120e-12      -8.819319314989e-15 
   67       2.497288939411e-10       3.144002445141e-14      -6.339193933492e-13       1.306280062740e-16       2.247642522455e-11       2.939816500375e-12      -8.740097325033e-15 
   68       2.533621282110e-10       3.282570048352e-14      -6.846743912917e-13       1.346017760207e-16       2.168759881105e-11       2.856832769589e-12      -8.650048677265e-15 
   69       2.570234637127e-10       3.424022873408e-14      -7.369309088707e-13       1.386356671290e-16       2.093667903100e-11       2.777484154027e-12      -8.550605028382e-15 
   70       2.607117431867e-10       3.568305722507e-14      -7.906962843372e-13       1.427296050763e-16       2.022075938790e-11       2.701465893082e-12      -8.443371892407e-15 
   71       2.644251678078e-10       3.715358941970e-14      -8.459788814877e-13       1.468835078716e-16       1.953596554540e-11       2.628371015584e-12      -8.330134313754e-15 
   72       2.681619931887e-10       3.865117682855e-14      -9.027815427013e-13       1.510973174912e-16       1.887844274038e-11       2.557798360064e-12      -8.212727994827e-15 
   73       2.719228501088e-10       4.017509648360e-14      -9.610802867086e-13       1.553711014475e-16       1.824763532204e-11       2.489711046025e-12      -8.092611433710e-15 
   74       2.757088078504e-10       4.172456806388e-14      -1.020841670719e-12       1.597049705853e-16       1.764356005718e-11       2.424138669220e-12      -7.971221528062e-15 
   75       2.795206644254e-10       4.329875959439e-14      -1.082029010301e-12       1.640990498367e-16       1.706581030459e-11       2.361068621762e-12      -7.850103400666e-15 
   76       2.833589281440e-10       4.489678670613e-14      -1.144602320693e-12       1.685534788185e-16       1.651353552062e-11       2.300443982548e-12      -7.730913000682e-15 
   77       2.872237991849e-10       4.651771189610e-14      -1.208518258112e-12       1.730684124302e-16       1.598542076460e-11       2.242161407704e-12      -7.615419704892e-15 
   78       2.911151511641e-10       4.816054378738e-14      -1.273730061070e-12       1.776440214514e-16       1.547966620444e-11       2.186069021018e-12      -7.505508918952e-15 
   79       2.950325127045e-10       4.982423638906e-14      -1.340187491682e-12       1.822804931388e-16       1.499396662208e-11       2.131964304375e-12      -7.403184678637e-15 
   80       2.989753749532e-10       5.150770595870e-14      -1.407841124898e-12       1.869780371069e-16       1.452607898810e-11       2.079648075283e-12      -7.310135453763e-15 
   81       3.029442161837e-10       5.320988658969e-14      -1.476656203168e-12       1.917369028282e-16       1.407568378843e-11       2.029101855997e-12      -7.226338997995e-15 
   82       3.069396223203e-10       5.492968297186e-14      -1.546601091987e-12       1.965573662773e-16       1.364281104724e-11       1.980337600557e-12      -7.151218823029e-15 
   83       3.109619645906e-10       5.666595323896e-14      -1.617643167180e-12       2.014397256026e-16       1.322727151249e-11       1.933343289208e-12      -7.084054072905e-15 
   84       3.150113871316e-10       5.841750855465e-14      -1.689748836722e-12       2.063843018217e-16       1.282864705157e-11       1.888081857488e-12      -7.023974036415e-15 
