# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.573911933700e-02       1.318569400766e+04 
       3.590486401979e-02       1.312399862746e+04 
       3.607114677823e-02       1.306256324079e+04 
       3.623798184162e-02       1.300121779233e+04 
       3.640538389777e-02       1.294000022526e+04 
       3.657336811161e-02       1.287878190963e+04 
       3.674195014474e-02       1.281770456191e+04 
       3.691114617603e-02       1.275684586594e+04 
       3.708097292326e-02       1.269600159440e+04 
       3.725144766586e-02       1.263521019076e+04 
       3.742258826894e-02       1.257471101728e+04 
       3.759441320854e-02       1.251407323140e+04 
       3.776694159828e-02       1.245389574966e+04 
       3.794019321743e-02       1.239353154331e+04 
       3.811418854060e-02       1.233366052928e+04 
       3.828894876904e-02       1.227351657948e+04 
       3.846449586371e-02       1.221341816279e+04 
       3.864085258029e-02       1.215367679046e+04 
       3.881804250616e-02       1.209395875767e+04 
       3.899609009957e-02       1.203409432853e+04 
       3.917502073115e-02       1.197471725335e+04 
       3.935486072784e-02       1.191570558714e+04 
       3.953563741959e-02       1.185594516877e+04 
       3.971737918880e-02       1.179724945712e+04 
       3.990011552294e-02       1.173803705937e+04 
       4.008387707040e-02       1.167906828433e+04 
       4.026869569995e-02       1.162056230681e+04 
       4.045460456395e-02       1.156196892077e+04 
       4.064163816580e-02       1.150347096878e+04 
       4.082983243174e-02       1.144500902666e+04 
       4.101922478748e-02       1.138672870415e+04 
       4.120985424011e-02       1.132846003723e+04 
       4.140176146550e-02       1.127084069322e+04 
       4.159498890188e-02       1.121251520557e+04 
       4.178958084998e-02       1.115486485218e+04 
       4.198558358037e-02       1.109719012189e+04 
       4.218304544858e-02       1.103932682255e+04 
       4.238201701860e-02       1.098205567582e+04 
       4.258255119575e-02       1.092456824429e+04 
       4.278470336946e-02       1.086722558732e+04 
       4.298853156711e-02       1.080998933804e+04 
       4.319409661983e-02       1.075317554244e+04 
       4.340146234137e-02       1.069575618672e+04 
       4.361069572145e-02       1.063890812249e+04 
       4.382186713473e-02       1.058234799114e+04 
       4.403505056727e-02       1.052525343878e+04 
       4.425032386187e-02       1.046871143416e+04 
       4.446776898455e-02       1.041217403282e+04 
       4.468747231409e-02       1.035552924702e+04 
       4.490952495725e-02       1.029906129655e+04 
       4.513402309222e-02       1.024266464715e+04 
       4.536106834360e-02       1.018629415345e+04 
       4.559076819215e-02       1.012991585825e+04 
       4.582323642342e-02       1.007352699091e+04 
       4.605859361957e-02       1.001731308854e+04 
       4.629696769950e-02       9.960802793468e+03 
       4.653849451296e-02       9.904686944105e+03 
